"state","date","cum.v1.case","cum.v2.case","cum.v1.death","cum.v2.death"
"New York","2021-07-21",11430753.8461538,13280751.2820513,11430753.8461538,13280751.2820513
"New York","2021-07-22",11160305.1282051,13031456.4102564,11160305.1282051,13031456.4102564
"New York","2021-07-23",10831056.4102564,12756172.4475524,10831056.4102564,12756172.4475524
"New York","2021-07-24",10488107.6923077,12512288.4848485,10488107.6923077,12512288.4848485
"New York","2021-07-25",10175458.974359,12264604.5221445,10175458.974359,12264604.5221445
"New York","2021-07-26",9973643.58974359,12107420.5594406,9973643.58974359,12107420.5594406
"New York","2021-07-27",9761078.20512821,11979136.5967366,9761078.20512821,11979136.5967366
"New York","2021-07-28",9556912.82051282,11810932.6340326,9556912.82051282,11810932.6340326
"New York","2021-07-29",9303164.1025641,11586228.6713287,9303164.1025641,11586228.6713287
"New York","2021-07-30",9055369.02097902,11305724.7086247,9055369.02097902,11305724.7086247
"New York","2021-07-31",8858698.93939394,11076120.7459207,8858698.93939394,11076120.7459207
"New York","2021-08-01",8648928.85780886,10852016.7832168,8648928.85780886,10852016.7832168
"New York","2021-08-02",8510858.77622378,10701612.8205128,8510858.77622378,10701612.8205128
"New York","2021-08-03",8354688.6946387,10582108.8578089,8354688.6946387,10582108.8578089
"New York","2021-08-04",8236653.61305361,10418404.8951049,8236653.61305361,10418404.8951049
"New York","2021-08-05",8092418.53146853,10194300.9324009,8092418.53146853,10194300.9324009
"New York","2021-08-06",7917183.44988345,9962696.96969697,7917183.44988345,9962696.96969697
"New York","2021-08-07",7794248.36829837,9716593.00699301,7794248.36829837,9716593.00699301
"New York","2021-08-08",7658413.28671329,9533589.04428905,7658413.28671329,9533589.04428905
"New York","2021-08-09",7558478.20512821,9442185.08158508,7558478.20512821,9442185.08158508
"New York","2021-08-10",7475443.12354312,9348081.11888112,7475443.12354312,9348081.11888112
"New York","2021-08-11",7413108.04195804,9224777.15617716,7413108.04195804,9224777.15617716
"New York","2021-08-12",7303372.96037296,9038173.19347319,7303372.96037296,9038173.19347319
"New York","2021-08-13",7219537.87878788,8758569.23076923,7219537.87878788,8758569.23076923
"New York","2021-08-14",7113302.7972028,8549261.02564103,7113302.7972028,8549261.02564103
"New York","2021-08-15",7048867.71561772,8360252.82051282,7048867.71561772,8360252.82051282
"New York","2021-08-16",7017632.63403264,8213869.61538462,7017632.63403264,8213869.61538462
"New York","2021-08-17",6998497.55244755,8070886.41025641,6998497.55244755,8070886.41025641
"New York","2021-08-18",6981962.47086247,7954203.20512821,6981962.47086247,7954203.20512821
"New York","2021-08-19",6936927.38927739,7766420,6936927.38927739,7766420
"New York","2021-08-20",6830292.30769231,7683609.62640819,6830292.30769231,7683609.62640819
"New York","2021-08-21",6781476.92307692,7582999.25281638,6781476.92307692,7582999.25281638
"New York","2021-08-22",6717561.53846154,7488888.87922458,6717561.53846154,7488888.87922458
"New York","2021-08-23",6661071.15384615,7465878.50563277,6661071.15384615,7465878.50563277
"New York","2021-08-24",6625880.76923077,7455868.13204096,6625880.76923077,7455868.13204096
"New York","2021-08-25",6608190.38461538,7405057.75844915,6608190.38461538,7405057.75844915
"New York","2021-08-26",6557500,7352747.38485734,6557500,7352747.38485734
"New York","2021-08-27",6544840.47619048,7295737.01126553,6544840.47619048,7295737.01126553
"New York","2021-08-28",6497205.95238095,7231326.63767373,6497205.95238095,7231326.63767373
"New York","2021-08-29",6417271.42857143,7201616.26408192,6417271.42857143,7201616.26408192
"New York","2021-08-30",6387786.90476191,7206927.76549011,6387786.90476191,7206927.76549011
"New York","2021-08-31",6361902.38095238,7233239.2668983,6361902.38095238,7233239.2668983
"New York","2021-09-01",6296342.85714286,7235050.76830649,6296342.85714286,7235050.76830649
"New York","2021-09-02",6228583.33333333,7227145.34663776,6228583.33333333,7227145.34663776
"New York","2021-09-03",6150723.80952381,7225514.92496903,6150723.80952381,7225514.92496903
"New York","2021-09-04",6048864.28571429,7176577.83663363,6048864.28571429,7176577.83663363
"New York","2021-09-05",5992104.76190476,7147040.74829823,5992104.76190476,7147040.74829823
"New York","2021-09-06",5948917.11309524,7139453.65996284,5948917.11309524,7139453.65996284
"New York","2021-09-07",5927529.46428571,7139066.57162744,5927529.46428571,7139066.57162744
"New York","2021-09-08",5892241.81547619,7168544.18917439,5892241.81547619,7168544.18917439
"New York","2021-09-09",5862669.55128205,7175650.427411,5862669.55128205,7175650.427411
"New York","2021-09-10",5821040.14423077,7208856.66564761,5821040.14423077,7208856.66564761
"New York","2021-09-11",5783310.73717949,7210662.90388422,5783310.73717949,7210662.90388422
"New York","2021-09-12",5763381.33012821,7120831.46096141,5763381.33012821,7120831.46096141
"New York","2021-09-13",5759501.92307693,7054913.35137193,5759501.92307693,7054913.35137193
"New York","2021-09-14",5752522.51602564,6967495.24178246,5752522.51602564,6967495.24178246
"New York","2021-09-15",5772493.10897436,6984075.8501417,5772493.10897436,6984075.8501417
"New York","2021-09-16",5781184.39157825,6948356.45850094,5781184.39157825,6948356.45850094
"New York","2021-09-17",5789675.67418214,6978343.73352685,5789675.67418214,6978343.73352685
"New York","2021-09-18",5790866.95678603,6928031.00855276,5790866.95678603,6928031.00855276
"New York","2021-09-19",5728758.23938992,6848638.28357866,5728758.23938992,6848638.28357866
"New York","2021-09-20",5695116.18866048,6741245.55860457,5695116.18866048,6741245.55860457
"New York","2021-09-21",5654674.13793103,6658452.83363048,5654674.13793103,6658452.83363048
"New York","2021-09-22",5678532.08720159,6638360.10865639,5678532.08720159,6638360.10865639
"New York","2021-09-23",5661490.03647215,6520667.3836823,5661490.03647215,6520667.3836823
"New York","2021-09-24",5691654.65240937,6502329.6587082,5691654.65240937,6502329.6587082
"New York","2021-09-25",5674019.2683466,6476391.93373411,5674019.2683466,6476391.93373411
"New York","2021-09-26",5642703.88428382,6468154.20876002,5642703.88428382,6468154.20876002
"New York","2021-09-27",5614138.50022104,6463683.15045259,5614138.50022104,6463683.15045259
"New York","2021-09-28",5588673.11615827,6460512.09214517,5588673.11615827,6460512.09214517
"New York","2021-09-29",5592357.73209549,6482291.03383774,5592357.73209549,6482291.03383774
"New York","2021-09-30",5528442.34803272,6477853.30886365,5528442.34803272,6477853.30886365
"New York","2021-10-01",5520546.96396994,6460652.04222289,5520546.96396994,6460652.04222289
"New York","2021-10-02",5506351.57990716,6459894.10891547,5506351.57990716,6459894.10891547
"New York","2021-10-03",5500956.19584439,6407236.17560804,5500956.19584439,6407236.17560804
"New York","2021-10-04",5493094.14511494,6370678.24230061,5493094.14511494,6370678.24230061
"New York","2021-10-05",5482932.0943855,6378120.30899319,5482932.0943855,6378120.30899319
"New York","2021-10-06",5479970.04365606,6389762.37568576,5479970.04365606,6389762.37568576
"New York","2021-10-07",5460303.23102185,6273804.44237834,5460303.23102185,6273804.44237834
"New York","2021-10-08",5442314.54338765,6326621.50907091,5442314.54338765,6326621.50907091
"New York","2021-10-09",5429119.18908678,6300638.57576349,5429119.18908678,6300638.57576349
"New York","2021-10-10",5407023.8347859,6359843.87775018,5407023.8347859,6359843.87775018
"New York","2021-10-11",5392028.48048503,6434244.05153175,5392028.48048503,6434244.05153175
"New York","2021-10-12",5374033.12618416,6533429.51943095,5374033.12618416,6533429.51943095
"New York","2021-10-13",5326537.77188329,6591727.48733016,5326537.77188329,6591727.48733016
"New York","2021-10-14",5224513.84615385,6634425.45522938,5224513.84615385,6634425.45522938
"New York","2021-10-15",5217414.9204244,6713923.42312859,5217414.9204244,6713923.42312859
"New York","2021-10-16",5175015.99469496,6825146.3910278,5175015.99469496,6825146.3910278
"New York","2021-10-17",5175017.06896552,6855236.02559368,5175017.06896552,6855236.02559368
"New York","2021-10-18",5188216.8611848,6893625.66015955,5188216.8611848,6893625.66015955
"New York","2021-10-19",5208716.65340407,6928815.29472543,5208716.65340407,6928815.29472543
"New York","2021-10-20",5219697.69562334,6943834.98393612,5219697.69562334,6943834.98393612
"New York","2021-10-21",5191278.73784262,7031654.6731468,5191278.73784262,7031654.6731468
"New York","2021-10-22",5195159.78006189,7117554.36235749,5195159.78006189,7117554.36235749
"New York","2021-10-23",5196015.82228117,7189054.05156818,5196015.82228117,7189054.05156818
"New York","2021-10-24",5181871.86450044,7247253.74077886,5181871.86450044,7247253.74077886
"New York","2021-10-25",5174327.90671972,7272253.42998955,5174327.90671972,7272253.42998955
"New York","2021-10-26",5161983.94893899,7371448.6415883,5161983.94893899,7371448.6415883
"New York","2021-10-27",5147939.99115827,7417463.85318704,5147939.99115827,7417463.85318704
"New York","2021-10-28",5144796.03337754,7486579.06478579,5144796.03337754,7486579.06478579
"New York","2021-10-29",5143312.07559682,7545965.10971787,5143312.07559682,7545965.10971787
"New York","2021-10-30",5132703.11781609,7616451.15464995,5132703.11781609,7616451.15464995
"New York","2021-10-31",5131394.16003537,7675237.19958203,5131394.16003537,7675237.19958203
"New York","2021-11-01",5121485.20225464,7725023.24451411,5121485.20225464,7725023.24451411
"New York","2021-11-02",5127276.24447392,7822709.28944619,5127276.24447392,7822709.28944619
"New York","2021-11-03",5099632.28669319,7931620.33437826,5099632.28669319,7931620.33437826
"New York","2021-11-04",5079088.32891247,8081379.7342887,5079088.32891247,8081379.7342887
"New York","2021-11-05",5106546.45446508,8226530.04329004,5106546.45446508,8226530.04329004
"New York","2021-11-06",5067704.58001768,8400956.6033966,5067704.58001768,8400956.6033966
"New York","2021-11-07",5040762.70557029,8509083.16350316,5040762.70557029,8509083.16350316
"New York","2021-11-08",5018570.8311229,8605009.72360972,5018570.8311229,8605009.72360972
"New York","2021-11-09",5010478.95667551,8767036.28371628,5010478.95667551,8767036.28371628
"New York","2021-11-10",4979097.08222812,8891362.84382284,4979097.08222812,8891362.84382284
"New York","2021-11-11",4964130.70561622,9159532.26107226,4964130.70561622,9159532.26107226
"New York","2021-11-12",4924664.32900433,9364701.67832168,4924664.32900433,9364701.67832168
"New York","2021-11-13",4906861.87812188,9511701.86480186,4906861.87812188,9511701.86480186
"New York","2021-11-14",4876659.42723943,9631602.05128205,4876659.42723943,9631602.05128205
"New York","2021-11-15",4872256.97635698,9735614.73776224,4872256.97635698,9735614.73776224
"New York","2021-11-16",4866854.52547453,9884527.42424242,4866854.52547453,9884527.42424242
"New York","2021-11-17",4827252.07459208,9998290.11072261,4827252.07459208,9998290.11072261
"New York","2021-11-18",4922735.33799534,10114252.7972028,4922735.33799534,10114252.7972028
"New York","2021-11-19",4935018.6013986,10152892.6521466,4935018.6013986,10152892.6521466
"New York","2021-11-20",4891355.71095571,10250232.5070904,4891355.71095571,10250232.5070904
"New York","2021-11-21",4872492.82051282,10319272.3620342,4872492.82051282,10319272.3620342
"New York","2021-11-22",4872711.18006993,10328412.216978,4872711.18006993,10328412.216978
"New York","2021-11-23",4862429.53962704,10395652.0719217,4862429.53962704,10395652.0719217
"New York","2021-11-24",4854547.89918415,10480291.9268655,4854547.89918415,10480291.9268655
"New York","2021-11-25",4857216.25874126,10540448.448476,4857216.25874126,10540448.448476
"New York","2021-11-26",4842060.90034965,10608374.2008557,4842060.90034965,10608374.2008557
"New York","2021-11-27",4841530.54195804,10701899.9532354,4841530.54195804,10701899.9532354
"New York","2021-11-28",4865600.18356644,10736936.2825381,4865600.18356644,10736936.2825381
"New York","2021-11-29",4859219.82517483,10746625.7368409,4859219.82517483,10746625.7368409
"New York","2021-11-30",4928739.46678322,10804515.1911437,4928739.46678322,10804515.1911437
"New York","2021-12-01",4955334.10839161,10847300.4787798,4955334.10839161,10847300.4787798
"New York","2021-12-02",4947008.75,10818177.6894928,4947008.75,10818177.6894928
"New York","2021-12-03",4948029.54545455,10784654.9002058,4948029.54545455,10784654.9002058
"New York","2021-12-04",4966150.34090909,10799538.7775855,4966150.34090909,10799538.7775855
